LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA
Somewhat useful,Very useful,Somewhat useful,Very useful,NA,Very useful,Very useful,NA,Somewhat useful,Very useful,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Data Scientist,Deep learning,NA,NA,NA,NA,Often,Rarely,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Often,Most of the time,NA,More internal than external,Doctoral degree,38,NA,5
NA,Somewhat useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,Very useful,NA,NA,NA,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,59,Yes,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Engineer,"Ensemble Methods (e.g. boosting, bagging)",NA,Often,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Doctoral degree,41,Yes,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Scientist/Researcher,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,More internal than external,Doctoral degree,40,Yes,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,Yes,NA
Somewhat useful,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Data Scientist,Deep learning,NA,NA,NA,NA,Sometimes,Often,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely external,Master's degree,29,NA,10 - Highly Satisfied
Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,Sometimes,Often,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,NA,Entirely internal,Master's degree,33,NA,7
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Software Developer/Software Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,40,NA,NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Engineer,Neural Nets,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Master's degree,25,Sort of (Explain more),6
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Other,Regression,Often,NA,NA,NA,NA,NA,NA,NA,Often,NA,Often,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,44,No,7
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Machine Learning Engineer,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,Often,NA,NA,More internal than external,Bachelor's degree,40,Sort of (Explain more),8
Very useful,Very useful,NA,NA,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scientist/Researcher,Time Series Analysis,NA,NA,NA,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Professional degree,37,Yes,10 - Highly Satisfied
NA,Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,47,Yes,NA
NA,Somewhat useful,Very useful,NA,Very useful,NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,No,NA
NA,Very useful,NA,Somewhat useful,Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,NA,Scientist/Researcher,"Ensemble Methods (e.g. boosting, bagging)",Sometimes,NA,Often,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,Often,Often,NA,NA,NA,Often,Often,Often,NA,Approximately half internal and half external,Doctoral degree,31,Yes,7
NA,NA,Very useful,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Other,Other,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Master's degree,NA,Yes,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
NA,Very useful,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Predictive Modeler,Bayesian Methods,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,39,Yes,10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,24,Sort of (Explain more),NA
NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,Not Useful,Very useful,NA,Very useful,NA,NA,NA,Very useful,Scientist/Researcher,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,Approximately half internal and half external,Doctoral degree,35,Yes,10 - Highly Satisfied
NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,Very useful,NA,NA,Not Useful,NA,NA,NA,Not Useful,DBA/Database Engineer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,36,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,Data Scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,47,NA,NA
Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Not Useful,Not Useful,NA,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,NA,NA,Somewhat useful,Researcher,Social Network Analysis,NA,NA,Sometimes,NA,NA,NA,NA,NA,Sometimes,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,More internal than external,Doctoral degree,40,Sort of (Explain more),8
NA,NA,Very useful,NA,Somewhat useful,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Business Analyst,Neural Nets,NA,NA,NA,NA,Often,NA,NA,Often,NA,Sometimes,NA,NA,NA,NA,NA,Often,NA,NA,Sometimes,Often,Often,NA,Do not know,Bachelor's degree,30,No,10 - Highly Satisfied
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Somewhat useful,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,24,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,27,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,No,NA
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I did not complete any formal education past high school,19,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Predictive Modeler,Text Mining,NA,Often,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Doctoral degree,50,Yes,8
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,NA,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,36,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,36,No,NA
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,23,No,NA
Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,NA,NA,Somewhat useful,Data Scientist,Regression,Often,NA,NA,Often,Most of the time,Sometimes,NA,NA,Most of the time,NA,Often,Sometimes,NA,Sometimes,Most of the time,NA,Most of the time,NA,NA,NA,Often,NA,Entirely internal,Master's degree,59,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Other,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,27,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Data Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Master's degree,27,No,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,NA,NA,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,34,No,NA
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Machine Learning Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,No,NA
NA,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Engineer,Anomaly Detection,NA,NA,Often,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Often,NA,NA,Entirely internal,Master's degree,68,No,3
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,25,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,28,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,27,No,NA
NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,Data Analyst,Cluster Analysis,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,Rarely,Sometimes,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,25,Sort of (Explain more),5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,Software Developer/Software Engineer,Proprietary Algorithms,Sometimes,NA,NA,NA,Often,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Professional degree,34,No,5
NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,Researcher,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,20,No,NA
NA,Very useful,Somewhat useful,NA,NA,NA,Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,Very useful,NA,Random Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I did not complete any formal education past high school,16,Sort of (Explain more),NA
NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,20,Sort of (Explain more),NA
NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Somewhat useful,Data Analyst,Factor Analysis,Sometimes,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,NA,More internal than external,Master's degree,29,Sort of (Explain more),9
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Computer Scientist,Neural Nets,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Do not know,Master's degree,25,Sort of (Explain more),10 - Highly Satisfied
NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Somewhat useful,NA,Data Scientist,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,42,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,24,No,NA
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,NA,Very useful,Scientist/Researcher,Text Mining,NA,Often,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,Sometimes,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,More internal than external,Master's degree,32,Yes,10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Data Scientist,Text Mining,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Bachelor's degree,22,NA,10 - Highly Satisfied
NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,Very useful,Somewhat useful,Somewhat useful,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Researcher,Anomaly Detection,Often,NA,NA,NA,Sometimes,NA,Most of the time,NA,Often,NA,NA,Most of the time,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,38,Sort of (Explain more),2
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Business Analyst,Bayesian Methods,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,25,Yes,4
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,Neural Nets,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,Sometimes,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,28,NA,10 - Highly Satisfied
Very useful,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,Very useful,NA,Programmer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Entirely internal,Bachelor's degree,38,Sort of (Explain more),6
NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Very useful,Very useful,NA,Cluster Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Business Analyst,Monte Carlo Methods,NA,NA,NA,Sometimes,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Entirely internal,Some college/university study without earning a bachelor's degree,31,Sort of (Explain more),5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,Approximately half internal and half external,Bachelor's degree,60,Sort of (Explain more),5
NA,NA,Very useful,NA,NA,Somewhat useful,Very useful,NA,Very useful,NA,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,30,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Business Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,31,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA
NA,Somewhat useful,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,Engineer,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,35,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,21,Sort of (Explain more),NA
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scientist/Researcher,Cluster Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,20,No,NA
NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,Data Analyst,Neural Nets,Most of the time,Most of the time,NA,NA,Most of the time,Often,NA,Often,Most of the time,Often,NA,NA,Most of the time,NA,Most of the time,Often,Most of the time,Often,NA,NA,Often,NA,More internal than external,Doctoral degree,31,Sort of (Explain more),7
NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,NA,Very useful,Somewhat useful,Data Scientist,Neural Nets,Often,Often,Often,NA,NA,NA,NA,NA,Most of the time,NA,NA,Most of the time,NA,NA,Most of the time,Most of the time,NA,Most of the time,NA,NA,NA,NA,Do not know,Some college/university study without earning a bachelor's degree,27,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,58,Yes,NA
